Graph
Time (Seconds),Data (Meters),Data0 (Meters),Data1 (Meters),Data2 (Degrees),Data3 (Degrees),Data4 (Degrees)
4.350000,1.676330,0.128123,0.230395,-0.144968,0.144787,0.006583
4.400000,1.676416,0.128187,0.230397,-0.147738,0.150861,-0.000631
4.450000,1.676583,0.128246,0.230435,-0.148576,0.160574,0.001742
4.500000,1.676651,0.128270,0.230449,-0.150060,0.160281,0.010614
4.550000,1.676667,0.128289,0.230443,-0.148185,0.160923,0.011097
4.600000,1.676661,0.128314,0.230436,-0.148261,0.156228,0.000707
4.650000,1.676612,0.128330,0.230428,-0.152277,0.154341,-0.013835
4.700000,1.676564,0.128319,0.230420,-0.150108,0.147402,-0.025774
4.750000,1.676549,0.128300,0.230424,-0.151119,0.146648,-0.030904
4.800000,1.676595,0.128326,0.230446,-0.149056,0.151887,-0.025198
4.850000,1.676684,0.128343,0.230443,-0.152995,0.156129,-0.021522
4.900000,1.676723,0.128351,0.230432,-0.152893,0.152596,-0.016918
4.950000,1.676694,0.128355,0.230424,-0.148652,0.151997,-0.015610
5.000000,1.676694,0.128346,0.230441,-0.151055,0.153813,-0.011899
5.050000,1.676798,0.128347,0.230446,-0.152324,0.157013,-0.013423
5.100000,1.676934,0.128408,0.230439,-0.146498,0.156688,-0.019447
5.150000,1.676938,0.128441,0.230439,-0.149683,0.157287,-0.013741
5.200000,1.676899,0.128442,0.230439,-0.148349,0.159256,0.002541
5.250000,1.676850,0.128448,0.230450,-0.147709,0.153265,0.015404
5.300000,1.676859,0.128424,0.230438,-0.151043,0.152933,0.019095
5.350000,1.676900,0.128402,0.230429,-0.145526,0.149232,0.011623
5.400000,1.677056,0.128365,0.230420,-0.144734,0.142859,-0.001497
5.450000,1.677197,0.128311,0.230426,-0.147683,0.154030,-0.001487
5.500000,1.677331,0.128301,0.230430,-0.146570,0.159097,-0.001867
5.550000,1.677403,0.128363,0.230414,-0.143539,0.168543,-0.004553
5.600000,1.677452,0.128416,0.230447,-0.148521,0.161084,-0.010715
5.650000,1.677497,0.128443,0.230444,-0.153785,0.153049,-0.019981
5.700000,1.677533,0.128440,0.230420,-0.146719,0.156874,-0.029786
