Graph
Time (Seconds),Data (Meters),Data0 (Meters),Data1 (Meters),Data2 (Degrees),Data3 (Degrees),Data4 (Degrees)
53.799999,1.394932,0.207013,0.270090,0.575207,-1.686972,-16.493029
53.849998,1.393724,0.206359,0.216491,0.870390,-2.255357,-16.185181
53.899998,1.397074,0.206806,0.184429,0.037912,-0.019467,-15.925271
53.950001,1.399990,0.208462,0.183999,-0.012429,0.018437,-16.027136
54.000000,1.399316,0.208778,0.183123,-0.026681,0.017725,-16.152960
54.049999,1.398515,0.208151,0.182541,-0.016715,0.000019,-16.190586
54.099998,1.398455,0.208089,0.182179,-0.008866,-0.002520,-16.207354
54.149998,1.398741,0.208195,0.181960,-0.010941,0.006460,-16.229406
54.200001,1.398790,0.208251,0.181823,-0.008204,0.004774,-16.231640
54.250000,1.398771,0.208197,0.181734,-0.007797,0.002127,-16.227406
54.299999,1.398763,0.208393,0.223865,0.014662,-0.240727,-16.195625
54.349998,1.396840,0.207344,0.317305,0.265797,-0.810854,-15.993999
54.399998,1.395381,0.205769,0.356161,0.479673,-1.027677,-15.917737
54.450001,1.393104,0.205252,0.334686,0.582631,-1.212570,-15.901998
54.500000,1.392221,0.205739,0.269759,0.894644,-1.347262,-15.793491
54.549999,1.390597,0.204889,0.216424,1.276603,-1.895830,-15.571755
54.599998,1.393300,0.207156,0.185044,0.017179,0.018690,-15.471236
54.649998,1.396032,0.209430,0.184225,-0.066860,0.035154,-15.425546
54.700001,1.395334,0.208617,0.183270,-0.040866,0.013990,-15.446387
54.750000,1.394761,0.207839,0.182665,-0.014978,0.001772,-15.452697
54.799999,1.394929,0.207827,0.182287,-0.014773,-0.000416,-15.434249
54.849998,1.395077,0.207853,0.182052,-0.009414,0.007618,-15.438321
54.899998,1.395064,0.207770,0.181893,-0.005699,0.003065,-15.451700
54.950001,1.394685,0.207314,0.225158,0.147188,-0.171929,-15.328579
55.000000,1.390741,0.205497,0.317804,0.524200,-0.580105,-14.698758
55.049999,1.386201,0.203916,0.355816,0.605400,-1.036035,-14.220224
55.099998,1.385041,0.202083,0.333083,0.606651,-1.478795,-13.998017
55.149998,1.383905,0.201402,0.267588,0.857541,-2.112667,-13.827147
55.200001,1.380071,0.200408,0.213028,1.187740,-2.848377,-13.514237
55.250000,1.383783,0.200954,0.184929,0.046223,0.018513,-13.232637
55.299999,1.387606,0.201776,0.184048,0.049662,0.083012,-13.266677
55.349998,1.386953,0.202050,0.183180,0.017757,0.052139,-13.320554
55.399998,1.386097,0.201574,0.182601,0.009331,0.032167,-13.339733
55.450001,1.386186,0.201401,0.182243,0.008046,0.021346,-13.308719
55.500000,1.386413,0.201570,0.182022,0.003347,0.019307,-13.310519
55.549999,1.386402,0.201561,0.181872,0.003253,0.016987,-13.313216
55.599998,1.386374,0.201478,0.181776,0.002207,0.012576,-13.315782
55.649998,1.385613,0.202024,0.226415,-0.240523,-0.259388,-13.502124
55.700001,1.381729,0.199828,0.319364,0.200422,-0.860350,-13.487093
55.750000,1.377270,0.197590,0.357241,0.443854,-1.184231,-13.262151
55.799999,1.374886,0.196460,0.334424,0.584495,-1.585676,-13.503244
55.849998,1.373865,0.195426,0.269353,0.811862,-1.852232,-13.742082
55.899998,1.370671,0.193624,0.215635,1.215034,-2.499652,-13.888455
55.950001,1.374416,0.195051,0.184374,-0.231241,0.326825,-14.075943
56.000000,1.378225,0.197378,0.183884,-0.047144,0.067424,-14.185161
56.049999,1.377202,0.196973,0.183106,-0.023844,0.029995,-14.215656
56.099998,1.376376,0.196325,0.182544,-0.001508,0.014492,-14.160335
56.149998,1.376427,0.196432,0.182201,-0.002734,0.009971,-14.133286
56.200001,1.376536,0.196486,0.181997,-0.004235,0.010474,-14.120437
56.250000,1.376512,0.196504,0.181867,-0.003241,0.007056,-14.117617
56.299999,1.376479,0.196492,0.181771,-0.006078,0.004129,-14.114642
56.349998,1.377055,0.197684,0.224291,-0.023670,0.091789,-14.167432
56.399998,1.377319,0.197170,0.316889,0.291478,-0.186438,-13.911769
56.450001,1.377102,0.196356,0.354961,0.459810,-0.452287,-13.543377
56.500000,1.376705,0.195354,0.332316,0.422470,-0.616989,-13.612557
56.549999,1.377420,0.195494,0.266673,0.714038,-0.713833,-13.576443
56.599998,1.377142,0.194920,0.212356,1.200528,-1.022217,-13.541062
56.649998,1.378586,0.197754,0.184538,0.073503,0.005898,-13.499690
56.700001,1.379965,0.201174,0.183992,-0.013392,0.020868,-13.624084
56.750000,1.379839,0.200883,0.183082,-0.013203,0.012346,-13.703426
56.799999,1.379808,0.200026,0.182548,0.002826,0.004557,-13.644490
56.849998,1.380049,0.199958,0.182217,0.001588,0.013769,-13.636266
56.899998,1.380226,0.200220,0.182002,-0.002637,0.010319,-13.664564
56.950001,1.380243,0.200209,0.181871,-0.004813,0.006896,-13.662189
57.000000,1.380238,0.200170,0.181767,-0.001616,0.008078,-13.651861
57.049999,1.378783,0.198954,0.226043,0.054955,-0.289547,-13.680802
57.099998,1.374256,0.195910,0.319072,0.512307,-0.831634,-13.765866
57.149998,1.371570,0.193531,0.357498,0.931153,-1.221448,-13.651377
57.200001,1.366914,0.191357,0.334729,1.179609,-1.294546,-13.808486
57.250000,1.365570,0.190380,0.269391,1.558754,-1.399249,-13.900702
